code,group,minx,miny,maxx,maxy,country
COK,1,-165.87943999999993,-21.959087370999896,-157.32055663999992,-8.914978999999903,Cook Islands
COL,1,-81.84152999899993,-4.228428840999868,-66.83773803699995,15.912475000000086,Colombia
COM,1,43.22874832200006,-12.422640000999875,44.54097400000012,-11.364860533999943,Comoros
CPV,1,-25.36180305499988,14.801805000000172,-22.65680500000002,17.20541572600007,Cabo Verde
CRI,1,-87.10184899999996,5.498570000000029,-82.55231898799997,11.219757892729945,Costa Rica
CUB,1,-84.952362,19.82597199999998,-74.13118743999996,23.277639000000026,Cuba
CUW,1,-69.16263600000002,11.978194999000152,-68.63930500099997,12.392918000000009,Curaçao
CXR,1,105.53277587800017,-10.570833205999918,105.71333313100008,-10.412070273999973,Christmas Island
CYM,1,-81.42013549699993,19.26263809300019,-79.72264100000001,19.757360000000062,Cayman Islands
CYP,1,32.26930600000014,34.62501907300009,34.08819599999998,35.19940185600018,Cyprus
CZE,1,12.090760231000049,48.54084014800014,18.85925292999997,51.05569076500012,Czechia
DEU,1,5.86625051600015,47.27012252800006,15.041814803000136,55.05652599999996,Germany
DJI,1,41.748233987000106,10.908720087999995,43.41764068600014,12.706777681000004,Djibouti
DMA,1,-61.48014068599991,15.206251144000134,-61.24013900799992,15.640138626000123,Dominica
DNK,1,8.076389000000063,54.55902900000007,15.19305600000007,57.75152600000007,Denmark
DOM,1,-72.00388336099996,17.47013900000013,-68.32263946599994,19.932361604000164,Dominican Republic
DZA,1,-8.67386817900001,18.96023082700009,11.987367153000209,37.08869781250024,Algeria
ECU,1,-92.00854499999996,-5.01580333599992,-75.18714904699988,1.6818349999999782,Ecuador
EGY,1,24.698099190000164,21.72538900000012,36.2487489990001,31.667917251000063,Egypt
ERI,1,36.43876647900004,12.35698200005868,43.13763800000004,18.006714000000102,Eritrea
ESH,1,-17.105414999999994,20.769583000000125,-8.670013427999947,27.683097840000187,Western Sahara
ESP,1,-18.16152763299982,27.637361527000053,4.328194999999937,43.79152679400016,Spain
EST,1,21.76431300000013,57.51394700000003,28.20903800000002,59.82201800000007,Estonia
ETH,1,33.00153732299998,3.398823022000101,47.958229065000126,14.845477104000167,Ethiopia
FIN,1,20.55120658900006,59.720970000000136,31.58279991200004,70.09145355200013,Finland
FJI,1,-179.99999999999994,-21.042499999999848,-178.228607,-15.709722999999997,Fiji
FJI,2,176.89971900000012,-19.193610999999976,180.0,-12.461723999999949,Fiji
FLK,1,-61.46027799999996,-52.919303999999954,-57.68688999999995,-50.995972,Falkland Islands (Malvinas)
FRA,1,-5.143751000000009,41.33375200000012,9.560416222000129,51.089397432000055,France
FRO,1,-7.683333000000005,61.39374923600008,-6.245833396999899,62.39166599999999,Faroe Islands
FSM,1,137.4252779999999,1.0252769990000845,163.03555297800017,10.090624000000105,"Micronesia, Federated States of"
GAB,1,8.699028000000055,-3.990695000000017,14.502346039000088,2.3156445020000547,Gabon
GBR,1,-8.649995999999987,49.86531000000008,1.7643926980000515,60.84548000000012,United Kingdom
GEO,1,40.01110839800015,41.03851318500017,46.72135925300017,43.58454132000014,Georgia
GGY,1,-2.678193999999962,49.39958200100017,-2.155694999999924,49.735973,Guernsey
GHA,1,-3.2554190159998484,4.738751000000093,1.1917700000000195,11.173299790000158,Ghana
GIB,1,-5.367640000999927,36.10847100000007,-5.338471999999968,36.15715400000005,Gibraltar
GIN,1,-15.076250000000016,7.193552970000155,-7.641070841999976,12.691516876000094,Guinea
GLP,1,-61.81013900099998,15.831526999999994,-61.00013699999994,16.514862060000098,Guadeloupe
GMB,1,-16.817362000999935,13.064655303000166,-13.790927887999883,13.826889991000144,Gambia
GNB,1,-16.714891000000023,10.86430599900018,-13.636520384999926,12.685440063000044,Guinea-Bissau
GNQ,1,5.61644124999998,-1.4676389689999496,11.337436674000116,3.788749933000133,Equatorial Guinea
GRC,1,19.37235800000008,34.80069000000003,29.64569700000004,41.748008729000105,Greece
GRD,1,-61.80208199999993,11.984305000000065,-61.37819299999995,12.540138000000011,Grenada
GRL,1,-73.24323300000003,59.74450699900007,-0.0130209999999237,83.65833300000008,Greenland
GTM,1,-92.222358704,13.738282203999972,-88.22566999899999,17.81871399999227,Guatemala
GUF,1,-54.541824341999984,2.128722906000121,-51.605930327999886,5.751806000000045,French Guiana
GUM,1,144.61791992100007,13.23426100000006,144.95693969700028,13.654323577000127,Guam
GUY,1,-61.38691699999998,1.176767003000066,-56.48025131299994,8.530921900557928,Guyana
HMD,1,72.582649,-53.19499999999988,73.87325300000009,-52.90214499999996,Heard Island and McDonald Islands
HND,1,-89.35079193199988,12.98453998600013,-82.40569299999999,17.41847200000001,Honduras
HRV,1,13.489582062000125,42.38542600000011,19.43517685000012,46.55051803599997,Croatia
HTI,1,-74.481247,18.021804999999915,-71.61814880299988,20.09041600000012,Haiti
HUN,1,16.111049652000133,45.74782943700012,22.90558433600017,48.58637619000018,Hungary
IDN,1,95.00970500000012,-11.007614999999872,141.01939400000003,6.076940999999977,Indonesia
IMN,1,-4.841186999999934,54.036499000000106,-4.306387901999926,54.41819381700009,Isle of Man
IND,1,68.18624900000009,6.754256000000055,97.41516113000006,35.50133132900004,India
IOT,1,71.23735800000003,-7.444582999999966,72.49569700000018,-5.2359729999999445,British Indian Ocean Territory
IRL,1,-10.662838000000022,51.41991300000007,-5.994504000000006,55.43513600000006,Ireland
IRN,1,44.04726410000018,25.058748000000094,63.3174591070001,39.77722167900015,"Iran, Islamic Republic of"
IRQ,1,38.79683685300006,29.05856609900013,48.56855800000011,37.3780403130001,Iraq
ISL,1,-24.53281199999992,63.09583299900004,-12.050520999999948,66.56458282500006,Iceland
ISR,1,34.268009186000086,29.49708366400017,35.90093600100016,33.36403300000006,Israel
ITA,1,6.63087892600015,35.492915999000104,18.520694733000084,47.09096145600006,Italy
JAM,1,-78.36902618399989,17.02041400000013,-75.96986400000003,18.52514100000002,Jamaica
JEY,1,-2.255137920999971,49.147083001000055,-1.9245839999999248,49.29291500000011,Jersey
JOR,1,34.95763778700018,29.18340100000012,39.30208587700014,33.36817169300008,Jordan
JPN,1,122.93319702100008,24.045416000000102,153.986938,45.52278518700018,Japan
KAZ,1,46.49185562100007,40.551673889000085,87.31266021700009,55.43181228700013,Kazakhstan
KEN,1,33.9095880000001,-4.72041700099993,41.92621612600016,5.061165809999977,Kenya
KGZ,1,69.2797393800002,39.17284393300014,80.28318023800006,43.23823547400019,Kyrgyzstan
KHM,1,102.33550262400018,9.91361000000012,107.6302642820001,14.688171387000068,Cambodia
KIR,1,-174.54339599999994,-17.85211400000003,-143.06629899999996,4.699492000000021,Kiribati
KIR,2,169.520798,-2.6730559999999173,176.84869400000002,3.39580600000005,Kiribati
KNA,1,-62.86430740299989,17.09347152800001,-62.53930664099994,17.418193816999974,Saint Kitts and Nevis
KOR,1,124.60958100000003,33.11208299900011,131.87236000100015,38.61215200000004,"Korea, Republic of"
KWT,1,46.54260521503227,28.524362,48.65402600000005,30.084437999999977,Kuwait
LAO,1,100.08676910400004,13.907600403000115,107.63497924800008,22.50040054300007,Lao People's Democratic Republic
LBN,1,35.10262680100016,33.055000306000125,36.621833802000026,34.691406249000124,Lebanon
LBR,1,-11.48569488599992,4.352915765000148,-7.365112780999937,8.551790238000024,Liberia
LBY,1,9.391736985000136,19.508173029676072,25.14847200000014,33.16541671700014,Libya
